entry_time,direction,entry_price,sl,tp,lots,risk_usd,commission,slippage_entry,fill_prob,filled,exit_time,exit_price,exit_reason,pnl_gross,pnl_net,confluence_count,confidence,manipulation_type
1761141600.0,BULL,4030.8267805042938,4024.65867,4193.6103,0.01,11.9570788404047,0.1,0.0267316761685701,0.75,True,1761584400.0,4024.65867,SL,-6.1681105042939635,-6.268110504293963,4,0.9,JUDAS_LOW
1762333200.0,BULL,3981.911238800357,3968.85505,4027.35757,0.01,11.638673315190003,0.1,0.011336456606823529,0.75,True,1762732800.0,4027.35757,TP,45.44633119964328,45.34633119964328,4,0.9,LIQUIDITY_SWEEP
1763046000.0,BEAR,4206.581204313156,4211.93714,4175.52466,0.011793252597870726,13.900989875172167,0.11793252597870726,0.018893343093202147,0.75,True,1763060400.0,4175.52466,TP,36.62576719020183,36.50783466422312,4,1.0,LIQUIDITY_SWEEP
1763121600.0,BEAR,4143.14353339844,4176.17981,4061.56179,0.01,15.72048498208439,0.1,0.020504690637493155,0.75,True,1763355600.0,4061.56179,TP,81.58174339843981,81.48174339843982,4,0.95,JUDAS_HIGH
1763564400.0,BULL,4097.4056961468505,4099.29643,4183.35026,0.01,19.78957215200638,0.1,0.005793803100731025,0.75,True,1763564400.0,4099.29643,SL,1.890733853149868,1.790733853149868,4,0.9,JUDAS_LOW
1763978400.0,BULL,4061.2108724315817,4034.66204,4124.17592,0.01,19.87410884466387,0.1,0.010921259706557282,0.75,True,1764025200.0,4124.17592,TP,62.965047568417965,62.865047568417964,4,0.9,LIQUIDITY_SWEEP
1763992800.0,BULL,4066.036844523914,4034.91275,4144.74955,0.01,19.86910884466387,0.1,0.004965316770736029,0.75,True,1764039600.0,4144.74955,TP,78.71270547608628,78.61270547608629,4,0.9,LIQUIDITY_SWEEP
1764144000.0,BULL,4174.570707926134,4130.77561,4279.8429,0.01,26.937996496889077,0.1,0.007891273599683887,0.75,True,1764572400.0,4279.8429,TP,105.2721920738659,105.1721920738659,4,0.9,LIQUIDITY_SWEEP
1765285200.0,BULL,4230.404022965898,4202.17877,4289.87414,0.011010822840675363,32.18660610058237,0.11010822840675363,0.00412062214807423,0.85,True,1765479600.0,4289.87414,TP,65.481492297673,65.37138406926624,4,0.9,JUDAS_LOW
1764172800.0,BULL,4190.579491203076,4127.6349,4323.64308,0.01,26.932996496889075,0.1,0.014863649790957365,0.75,True,1765526400.0,4323.64308,TP,133.0635887969238,132.9635887969238,4,0.9,JUDAS_LOW
1765954800.0,BULL,4348.112449179016,4342.88194,4326.59973,0.031849096666926514,42.09784933247153,0.31849096666926513,0.012351522765722068,0.75,True,1765954800.0,4326.59973,TP,-68.51606727009288,-68.83455823676213,5,0.95,JUDAS_HIGH
1767193200.0,BULL,4350.9129252384,4312.00215,4444.5927,0.01,38.64019687229996,0.1,0.013022894650249446,0.75,True,1767610800.0,4444.5927,TP,93.67977476160013,93.57977476160013,4,0.9,JUDAS_LOW
1767610800.0,BULL,4430.708116928819,4424.41694,4483.16611,0.019728886533718473,38.63519687229996,0.19728886533718473,0.007921616319775723,0.75,True,1767715200.0,4483.16611,TP,103.49377930879136,103.29649044345418,4,0.95,JUDAS_LOW
1767880800.0,BEAR,4441.394351319938,4456.96775,4388.51419,0.021241767164429156,48.46914568928582,0.21241767164429157,0.005551023811497739,0.75,True,1767895200.0,4456.96775,SL,-33.08065087206942,-33.29306854371371,4,0.95,LIQUIDITY_SWEEP
1769083200.0,BEAR,4834.527588817796,4873.38734,4753.60364,0.011719592409948238,46.79387137851791,0.11719592409948237,0.011259105314750694,0.75,True,1769097600.0,4873.38734,SL,-45.54204450074408,-45.65924042484357,4,1.0,JUDAS_HIGH
1769187600.0,BULL,4966.907759543187,4931.28714,5071.59348,0.01,44.50504956107076,0.1,0.007857199436954964,0.85,True,1769392800.0,5071.59348,TP,104.68572045681321,104.58572045681322,4,0.9,JUDAS_LOW
1770717600.0,BULL,5062.959813004208,5050.21305,5033.85034,0.03130180592615584,49.72933558391142,0.3130180592615584,0.03147156688722638,0.75,True,1770717600.0,5033.85034,TP,-91.11790745903838,-91.43092551829993,4,0.95,LIQUIDITY_SWEEP
1771412400.0,BULL,4929.123283973795,4866.26071,5060.47858,0.01,45.14213840503334,0.1,0.017690500501526863,0.75,True,1771592400.0,5060.47858,TP,131.355296026205,131.255296026205,5,1.0,LIQUIDITY_SWEEP
1772524800.0,BEAR,5348.94906354712,5392.18448,5238.78422,0.010110785315424527,51.6999032063436,0.10110785315424528,0.02069464403234874,0.75,True,1772539200.0,5238.78422,TP,111.38530824122681,111.28420038807256,5,1.0,LIQUIDITY_SWEEP
1773399600.0,BEAR,5112.885110131502,5116.86132,5068.87524,0.03789149977175362,57.259057833089514,0.37891499771753623,0.014792212247531513,0.75,True,1773414000.0,5068.87524,TP,166.75999840427102,166.38108340655347,4,1.0,LIQUIDITY_SWEEP
1773648000.0,BEAR,5002.27168646404,5078.98948,4839.62164,0.01,65.5591662535313,0.1,0.023401259640776915,0.75,True,1773874800.0,4839.62164,TP,162.6500464640394,162.5500464640394,4,0.95,JUDAS_HIGH
1774450800.0,BULL,4554.324760105781,4522.59449,4649.88663,0.01736517455794021,73.68166857673329,0.17365174557940208,0.02176002937018825,0.85,True,1774465200.0,4522.59449,SL,-55.100167915747235,-55.273819661326634,4,0.95,JUDAS_LOW
1774540800.0,BEAR,4438.59534727276,4464.09,4370.89966,0.02429224120725467,70.90929500638798,0.24292241207254672,0.023216598993884664,0.75,True,1774555200.0,4370.89966,TP,164.44799639207574,164.2050739800032,4,0.95,JUDAS_HIGH
1774836000.0,BEAR,4513.7786555319535,4589.34909,4335.55253,0.01,79.09722922070593,0.1,0.020965945781185817,0.75,True,1774926000.0,4589.34909,SL,-75.57043446804619,-75.67043446804618,5,1.0,JUDAS_HIGH
1774821600.0,BULL,4506.355011004833,4437.43714,4666.79198,0.010346728157168233,79.10240258478451,0.10346728157168233,0.019389963551045594,0.85,True,1774983600.0,4666.79198,TP,165.99977045530238,165.8963031737307,5,0.95,JUDAS_LOW
1774630800.0,BULL,4515.503727084952,4437.70928,4761.08143,0.01,79.10740258478451,0.1,0.003727084951383862,0.85,True,1775044800.0,4761.08143,TP,245.57770291504858,245.47770291504858,4,0.9,JUDAS_LOW
1776063600.0,BEAR,4756.392349973689,4822.60643,4601.11112,0.012985928388516609,95.8774078017426,0.1298592838851661,0.007552370061141517,0.75,True,1776182400.0,4822.60643,SL,-85.98513015331763,-86.1149894372028,5,1.0,JUDAS_HIGH
1776078000.0,BEAR,4751.358901935352,4822.59429,4601.13541,0.012987184416604146,95.87091483754834,0.12987184416604147,0.023381217422610925,0.75,True,1776182400.0,4822.59429,SL,-92.51471217839435,-92.6445840225604,5,1.0,JUDAS_HIGH
1776693600.0,BEAR,4847.845389311696,4883.59438,4751.32458,0.02138704923955219,86.92644257235187,0.2138704923955219,0.02061974703212321,0.75,True,1776798000.0,4751.32458,TP,206.42953013906546,206.21565964666993,4,1.0,JUDAS_HIGH
1776859200.0,BEAR,4774.955709112871,4782.4251,4744.36649,0.07663960211100632,97.2265320300656,0.7663960211100631,0.010571414187553424,0.75,True,1776906000.0,4744.36649,TP,234.43455816967864,233.66816214856857,4,0.95,JUDAS_HIGH
1777039200.0,BULL,4725.736752582853,4685.20766,4809.68528,0.026238842051230903,108.87162033643853,0.26238842051230904,0.011367180392475402,0.75,True,1777302000.0,4685.20766,SL,-106.3436458761196,-106.6060342966319,4,0.85,LIQUIDITY_SWEEP
1777910400.0,BEAR,4537.0247823523505,4597.08734,4414.30869,0.016992388367533848,103.5281992005813,0.16992388367533848,0.018126027668639407,0.75,True,1778032800.0,4597.08734,SL,-102.06063058962513,-102.23055447330047,4,0.95,JUDAS_HIGH
1777942800.0,BEAR,4550.389503347896,4597.03519,4439.69961,0.019738645814115385,103.51970300639753,0.19738645814115385,0.010398995854359985,0.85,True,1778032800.0,4597.03519,SL,-92.07226875820886,-92.26965521635002,5,1.0,JUDAS_HIGH
1777957200.0,BEAR,4555.286811241823,4596.57377,4440.62247,0.019911952073404994,103.50983368349048,0.19911952073404993,0.01299344567755678,0.85,True,1778032800.0,4596.57377,SL,-82.21039440494731,-82.40951392568135,5,1.0,JUDAS_HIGH
1778760000.0,BEAR,4711.776882240133,4727.71694,4658.74142,0.03897909874270106,89.6201201636407,0.38979098742701057,0.022922447366512826,0.75,True,1778788800.0,4658.74142,TP,206.727451952293,206.337660964866,4,0.95,JUDAS_HIGH
1778684400.0,BEAR,4703.29204998304,4715.5792,4638.76655,0.03501547460796954,89.65439152668718,0.35015474607969543,0.007754704460305949,0.75,True,1778806800.0,4638.76655,TP,225.93910062226578,225.5889458761861,4,0.95,JUDAS_HIGH
1778745600.0,BEAR,4702.400914929651,4727.63908,4647.43248,0.033527251484965305,89.6368837893832,0.33527251484965304,0.012851478035516933,0.75,True,1778806800.0,4647.43248,TP,184.29405416213388,183.9587816472842,4,0.95,JUDAS_HIGH
1778835600.0,BEAR,4568.104283602051,4596.08766,4501.34625,0.03812321350463962,120.39490003868616,0.3812321350463962,0.006413419524960939,0.75,True,1779202800.0,4501.34625,TP,254.5030768160896,254.1218446810432,4,0.95,JUDAS_HIGH
1778850000.0,BEAR,4559.491910050994,4596.35838,4466.88384,0.027891778205646155,120.37583843193384,0.27891778205646156,0.00946913863325198,0.75,True,1779249600.0,4466.88384,TP,258.3003749915261,258.02145720946965,4,0.95,JUDAS_HIGH
1778864400.0,BEAR,4563.988750443501,4596.61338,4466.37385,0.027724735332180745,120.36189254283101,0.27724735332180744,0.011249556498976718,0.75,True,1779249600.0,4466.37385,TP,270.63472792732387,270.35748057400207,4,0.95,JUDAS_HIGH
1779264000.0,BEAR,4486.478404851598,4513.88,4417.5,0.055219206820772186,159.47306929839067,0.5521920682077218,0.021595148402597047,0.75,True,1779292800.0,4513.88,SL,-151.30943497187067,-151.8616270400784,4,0.95,LIQUIDITY_SWEEP
1779444000.0,BEAR,4537.5374548177715,4548.37428,4502.66208,0.09965767016877983,151.85237834297638,0.9965767016877982,0.004573833373233964,0.75,True,1779458400.0,4502.66208,TP,347.5598600602036,346.56328335851583,4,1.0,LIQUIDITY_SWEEP
